title,year,genres,votes,rating,runtimes,certificates,cast,directors,plot
Dune: Part Two,2024,"Action, Adventure, Drama",,,150,PG-13,"Rebecca Ferguson, Florence Pugh, Timothée Chalamet, Zendaya",Denis Villeneuve,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Gladiator,2000,"Action, Adventure, Drama",1567112,8.5,155,R,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",1949427,8.8,178,PG-13,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",Peter Jackson,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Inception,2010,"Action, Adventure, Sci-Fi",2474697,8.8,148,PG-13,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",Christopher Nolan,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Transformers: Rise of the Beasts,2023,"Action, Adventure, Sci-Fi",83218,6.1,127,PG-13,"Anthony Ramos, Dominique Fishback, Luna Lauren Velez, Dean Scott Vazquez",Steven Caple Jr.,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
Avatar: The Way of Water,2022,"Action, Adventure, Fantasy",462555,7.6,192,PG-13,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",James Cameron,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
Desperation Road,2023,"Action, Thriller",369,5.7,112,R,"Mel Gibson, Willa Fitzgerald, Ryan Hurst, Garrett Hedlund",Nadine Crocker,"A Southern Noir thriller, set in a tough-and-tumble Mississippi town where a woman and her young daughter are caught in the crossfire when whiskey, guns, and the desire for revenge violently intersect."
Retribution,2023,"Action, Crime, Drama",9835,5.3,91,R,"Liam Neeson, Noma Dumezweni, Lilly Aspell, Jack Champion",Nimród Antal,A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out.
The Retirement Plan,2023,"Action, Comedy, Crime",2157,5.1,103,R,"Nicolas Cage, Ashley Greene, Thalia Campbell, Ron Perlman",Tim Brown,"When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands."
Top Gun: Maverick,2022,"Action, Drama",633734,8.3,130,PG-13,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",Joseph Kosinski,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
The Equalizer 2,2018,"Action, Crime, Thriller",181411,6.7,121,R,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean",Antoine Fuqua,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?"
